entry_dt,exit_dt,direction,entry_price,exit_price,pnl,mfe_usd,mae_usd,bars_held,mins_held,exit_signal,year,month,dow,entry_hour,is_win
2026-03-03 10:15:00,2026-03-03 11:00:00,SHORT,24434.75,24520.25,-172.24,168.0,-182.5,9,45,EMA Break Exit,2026,2026-03,Tuesday,10,False
2026-03-03 11:15:00,2026-03-03 12:35:00,LONG,24584.75,24627.5,84.26,280.5,-43.5,16,80,EMA Break Exit,2026,2026-03,Tuesday,11,True
2026-03-03 13:20:00,2026-03-03 14:25:00,LONG,24759.5,24759.25,-1.74,151.0,-58.5,13,65,Time Stop,2026,2026-03,Tuesday,13,False
2026-03-04 10:05:00,2026-03-04 13:20:00,LONG,24994.75,25147.5,304.26,378.5,-74.5,39,195,EMA Break Exit,2026,2026-03,Wednesday,10,True
2026-03-04 13:45:00,2026-03-04 14:45:00,LONG,25205.0,25196.5,-18.24,24.0,-53.0,12,60,Time Stop,2026,2026-03,Wednesday,13,False
2026-03-05 10:00:00,2026-03-05 10:25:00,LONG,25171.25,25012.0,-319.74,21.5,-360.0,5,25,EMA Break Exit,2026,2026-03,Thursday,10,False
2026-03-05 10:40:00,2026-03-05 10:55:00,SHORT,25041.5,25081.75,-81.74,18.0,-111.0,3,15,EMA Break Exit,2026,2026-03,Thursday,10,False
2026-03-06 11:10:00,2026-03-06 12:25:00,LONG,24823.75,24813.25,-22.24,194.5,-65.5,15,75,Time Stop,2026,2026-03,Friday,11,False
2026-03-06 12:45:00,2026-03-06 13:10:00,SHORT,24803.0,24888.0,-171.24,47.5,-185.5,5,25,EMA Break Exit,2026,2026-03,Friday,12,False
2026-03-09 10:50:00,2026-03-09 13:20:00,LONG,24577.5,24619.25,82.26,345.0,-95.0,30,150,EMA Break Exit,2026,2026-03,Monday,10,True
2026-03-10 10:10:00,2026-03-10 10:25:00,SHORT,24931.25,25003.5,-145.74,77.5,-187.0,3,15,EMA Break Exit,2026,2026-03,Tuesday,10,False
2026-03-10 10:40:00,2026-03-10 12:05:00,LONG,25102.75,25100.0,-6.74,158.5,-45.5,17,85,Time Stop,2026,2026-03,Tuesday,10,False
2026-03-11 11:25:00,2026-03-11 12:25:00,SHORT,24935.25,24952.0,-34.74,86.5,-57.5,12,60,Time Stop,2026,2026-03,Wednesday,11,False
